Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
32912,51,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39215.68627,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19607.84314,19607.84314,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,357,353,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
51114,75,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,26666.66667,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13333.33333,13333.33333,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,349,314,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,61416,1,1,48,128,48,48,48.0,0.0,128,128,128.0,0.0,2865.702748,32.56480396,61416.0,0.0,61416,61416,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,16.28240198,16.28240198,48,128,74.66666667,46.18802154,2133.333333,0,0,0,0,0,0,0,0,1,112.0,48.0,128.0,20,0,0,0,0,0,0,1,48,1,128,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,1138193,3,4,439,858,439,0,146.3333333,253.4567682,858,0,214.5,429.0,1139.525546,6.150099324,189698.8333,441684.4749,1090990,3,23821,11910.5,15910.60968,23161,660,1115094,371698.0,623041.6634,1090990,3,0,0,0,0,104,136,2.635756853,3.514342471,0,858,162.125,320.4035123,102658.4107,0,0,0,1,0,0,0,0,1,185.2857143,146.3333333,214.5,104,0,0,0,0,0,0,3,439,4,858,29200,31,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
57769,21311,2,1,44,6,38,6,22.0,22.627417,6,6,6.0,0.0,2346.206185,140.7723711,10655.5,14985.71401,21252,59,21311,21311.0,0.0,21311,21311,0,0.0,0.0,0,0,1,0,0,0,40,20,93.84824738,46.92412369,6,38,22.0,18.47520861,341.3333333,0,1,0,0,1,0,0,0,0,29.33333333,22.0,6.0,40,0,0,0,0,0,0,2,44,1,6,62,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,114,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,17543.85965,114.0,0.0,114,114,114,114.0,0.0,114,114,0,0.0,0.0,0,0,0,0,0,0,40,0,17543.85965,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
22966,32445,14,6,18467,24,2920,0,1319.071429,1183.430767,6,0,4.0,3.098386677,569918.3233,616.4278009,1707.631579,6027.493161,25962,2,32445,2495.769231,7236.61909,25962,2,26361,5272.2,11671.21235,26150,3,0,0,0,0,304,144,431.4994606,184.9283403,0,2920,880.5238095,1146.391714,1314213.962,0,0,0,1,0,0,0,0,0,924.55,1319.071429,4.0,304,0,0,0,0,0,0,14,18467,6,24,8192,357,12,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,121237,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,98.97968442,16.49661407,121237.0,0.0,121237,121237,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,8.248307035,8.248307035,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,30016,30016,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
58746,26,1,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,153846.1538,8.666666667,11.59022577,22,1,0,0.0,0.0,0,0,4,2.0,1.414213562,3,1,0,0,0,0,32,60,38461.53846,115384.6154,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,3,0,983,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,23803,1,1,56,72,56,56,56.0,0.0,72,72,72.0,0.0,5377.473428,84.02302231,23803.0,0.0,23803,23803,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,42.01151115,42.01151115,56,72,61.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,92.0,56.0,72.0,20,0,0,0,0,0,0,1,56,1,72,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,410860,13,8,1128,4496,645,0,86.76923077,184.4027087,1418,0,562.0,638.8608165,13688.361,51.11230103,20543.0,46585.89536,198867,1,410860,34238.33333,57002.71996,198867,1,360373,51481.85714,91664.21066,251077,4,0,0,0,0,428,264,31.64094825,19.47135277,0,1418,255.6363636,460.4337029,211999.1948,0,0,0,1,0,0,0,0,0,267.8095238,86.76923077,562.0,428,0,0,0,0,0,0,13,1128,8,4496,65535,175,6,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,5435751,9,6,348,4207,191,0,38.66666667,70.58859681,1448,0,701.1666667,699.2746003,837.970687,2.7595083,388267.9286,1387897.257,5209553,1,5435751,679468.875,1830828.92,5209553,3,126852,25370.4,34169.72447,64603,50,0,0,0,0,296,200,1.65570498,1.10380332,0,1448,284.6875,526.07347,276753.2958,0,0,0,1,0,0,0,0,0,303.6666667,38.66666667,701.1666667,296,0,0,0,0,0,0,9,348,6,4207,29200,939,3,32,226195.0,0.0,226195,226195,5209553.0,0.0,5209553,5209553,Benign
50094,269,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,115241.6357,11152.41636,134.5,187.383297,267,2,269,134.5,187.383297,267,2,0,0.0,0.0,0,0,0,0,0,0,60,0,11152.41636,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0.0,60,0,0,0,0,0,0,3,31,0,0,32160,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,30939,2,2,72,146,36,36,36.0,0.0,73,73,73.0,0.0,7046.123016,129.2866608,10313.0,17857.44383,30933,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,64.64333042,64.64333042,36,73,50.8,20.26573463,410.7,0,0,0,0,0,0,0,0,1,63.5,36.0,73.0,40,0,0,0,0,0,0,2,72,2,146,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,60342579,15,16,2840,8287,2524,0,189.3333333,648.3410331,2896,0,517.9375,853.8423327,184.3971568,0.513733429,2011419.3,4029458.205,10200000,3,51200000,3658999.714,5041595.933,10200000,164,60300000,4016953.533,5064631.27,10200000,3,0,0,0,0,488,520,0.248580691,0.265152737,0,2896,347.71875,757.3581943,573591.4345,0,0,0,1,0,0,0,0,1,358.9354839,189.3333333,517.9375,488,0,0,0,0,0,0,15,2840,16,8287,29200,167,3,32,130803.8333,104392.9759,343895,88000,9926292.167,443917.6856,10200000,9028580,Benign
53,264,2,2,66,578,33,33,33.0,0.0,289,289,289.0,0.0,2439393.939,15151.51515,88.0,146.3591473,257,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,40,7575.757576,7575.757576,33,289,135.4,140.2169747,19660.8,0,0,0,0,0,0,0,0,1,169.25,33.0,289.0,64,0,0,0,0,0,0,2,66,2,578,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6282461,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.636693168,2094153.667,3606676.691,6258763,77,6282461,3141230.5,4408856.743,6258763,23698,0,0.0,0.0,0,0,0,0,0,0,104,40,0.477519876,0.159173292,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,65535,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,11414,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,1051.340459,175.2234098,11414.0,0.0,11414,11414,11414,11414.0,0.0,11414,11414,0,0.0,0.0,0,0,0,0,0,0,40,0,175.2234098,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
138,25,13,0,3055,0,235,235,235.0,0.0,0,0,0.0,0.0,122000000.0,520000.0,2.083333333,2.234373344,9,1,25,2.083333333,2.234373344,9,1,0,0.0,0.0,0,0,0,0,0,0,416,0,520000.0,0.0,235,235,235.0,0.0,0.0,0,0,0,0,0,0,0,0,0,253.0769231,235.0,0.0,416,0,0,0,0,0,0,13,3055,0,0,-1,-1,12,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,238,2,2,66,500,33,33,33.0,0.0,250,250,250.0,0.0,2378151.261,16806.72269,79.33333333,132.2132116,232,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,8403.361345,8403.361345,33,250,119.8,118.855795,14126.7,0,0,0,0,0,0,0,0,1,149.75,33.0,250.0,64,0,0,0,0,0,0,2,66,2,500,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53777,129,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15503.87597,129.0,0.0,129,129,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,7751.937984,7751.937984,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,390,65535,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,225776,1,1,50,156,50,50,50.0,0.0,156,156,156.0,0.0,912.4087591,8.858337467,225776.0,0.0,225776,225776,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,4.429168734,4.429168734,50,156,85.33333333,61.19912853,3745.333333,0,0,0,0,0,0,0,0,1,128.0,50.0,156.0,20,0,0,0,0,0,0,1,50,1,156,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
