Destination Port,Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd Packet Length Mean,Bwd Packet Length Mean,SYN Flag Count,ACK Flag Count,RST Flag Count,Label
443,4520000,42,38,5210,48210,11818,17.7,124.0,1268.7,1,79,0,Benign
80,150000,50000,0,3000000,0,20000000,333333.3,60.0,0.0,50000,0,0,SYN Flood
80,900000,120000,110000,178000000,165000000,381111111,255555.5,1483.3,1500.0,1,229998,2,Volumetric DDoS
22,80000,2,1,120,80,2500,37.5,60.0,80.0,1,2,0,Port Scanning
22,3100000,180,175,21600,19800,13354,114.5,120.0,113.1,45,300,12,Brute Force
8443,58200000,320,9800,410000,142000000,2447594,173.5,1281.2,14489.8,1,10100,0,Data Exfiltration
53,2100,2,2,74,180,120952,1904.7,37.0,90.0,0,0,0,Benign
80,1200000,95000,88000,142000000,131000000,227500000,152500.0,1494.7,1488.6,1,182998,1,Volumetric DDoS
21,2800000,210,205,25200,23000,17214,148.2,120.0,112.1,52,340,15,Brute Force
443,6800000,58,61,7420,72300,11723,17.5,127.9,1185.2,1,118,0,Benign
21,45000,1,1,54,48,2266,44.4,54.0,48.0,1,1,0,Port Scanning
80,200000,60000,0,3600000,0,18000000,300000.0,60.0,0.0,60000,0,0,SYN Flood
